Date,Process CPU usage,Process memory usage,Request count,Response time
2022-10-22 13:00,0.16,1.51,1.12e6,159
2022-10-22 14:00,0.16,1.51,1.13e6,126
2022-10-22 15:00,0.16,1.51,1.12e6,129
2022-10-22 16:00,0.16,1.51,1.12e6,121
2022-10-22 17:00,0.16,1.51,1.13e6,127
2022-10-22 18:00,0.16,1.51,1.12e6,126
2022-10-22 19:00,0.16,1.52,1.12e6,141
2022-10-22 20:00,0.16,1.52,1.12e6,129
2022-10-22 21:00,0.16,1.52,1.12e6,130
2022-10-22 22:00,0.16,1.52,1.13e6,126
2022-10-22 23:00,0.16,1.52,1.12e6,125
2022-10-23 00:00,0.16,1.52,1.12e6,124
2022-10-23 01:00,0.16,1.52,1.12e6,127
2022-10-23 02:00,0.16,1.52,1.12e6,166
2022-10-23 03:00,0.16,1.52,1.12e6,129
2022-10-23 04:00,0.16,1.52,1.12e6,139
2022-10-23 05:00,0.16,1.52,1.12e6,125
2022-10-23 06:00,0.16,1.52,1.12e6,125
2022-10-23 07:00,0.16,1.52,1.12e6,120
2022-10-23 08:00,0.16,1.52,1.13e6,134
2022-10-23 09:00,0.17,1.52,1.12e6,123
2022-10-23 10:00,0.16,1.52,1.12e6,129
2022-10-23 11:00,0.16,1.52,1.12e6,123
2022-10-23 12:00,0.17,1.52,1.15e6,127
2022-10-23 13:00,0.16,1.52,1.13e6,142
2022-10-23 14:00,0.17,1.52,1.13e6,318
2022-10-23 15:00,0.16,1.52,1.13e6,128
2022-10-23 16:00,0.17,1.52,1.13e6,124
2022-10-23 17:00,0.17,1.52,1.12e6,125
2022-10-23 18:00,0.16,1.52,1.13e6,123
2022-10-23 19:00,0.16,1.52,1.12e6,125
2022-10-23 20:00,0.16,1.52,1.13e6,123
2022-10-23 21:00,0.16,1.52,1.12e6,128
2022-10-23 22:00,0.16,1.52,1.12e6,126
2022-10-23 23:00,0.16,1.52,1.12e6,123
2022-10-24 00:00,0.16,1.53,1.12e6,130
2022-10-24 01:00,0.16,1.53,1.12e6,124
2022-10-24 02:00,0.16,1.53,1.12e6,136
2022-10-24 03:00,0.16,1.53,1.12e6,131
2022-10-24 04:00,0.16,1.53,1.13e6,137
2022-10-24 05:00,0.16,1.53,1.12e6,125
2022-10-24 06:00,0.16,1.53,1.13e6,123
2022-10-24 07:00,0.16,1.53,1.12e6,123
2022-10-24 08:00,0.16,1.53,1.13e6,123
2022-10-24 09:00,0.16,1.53,1.13e6,126
2022-10-24 10:00,0.16,1.53,1.13e6,124
2022-10-24 11:00,0.16,1.53,1.12e6,143
2022-10-24 12:00,0.16,1.53,1.13e6,145
2022-10-24 13:00,0.16,1.53,1.13e6,119
2022-10-24 14:00,0.16,1.53,1.13e6,153
2022-10-24 15:00,0.16,1.53,1.13e6,122
2022-10-24 16:00,0.16,1.53,1.13e6,124
2022-10-24 17:00,0.16,1.53,1.13e6,125
2022-10-24 18:00,0.16,1.53,1.13e6,129
2022-10-24 19:00,0.16,1.53,1.13e6,131
2022-10-24 20:00,0.16,1.53,1.13e6,120
2022-10-24 21:00,0.16,1.53,1.13e6,137
2022-10-24 22:00,0.16,1.53,1.13e6,123
2022-10-24 23:00,0.16,1.53,1.12e6,125
2022-10-25 00:00,0.16,1.53,1.12e6,122
2022-10-25 01:00,0.16,1.53,1.12e6,121
2022-10-25 02:00,0.16,1.53,1.13e6,127
2022-10-25 03:00,0.16,1.54,1.13e6,122
2022-10-25 04:00,0.16,1.54,1.13e6,126
2022-10-25 05:00,0.16,1.54,1.12e6,124
2022-10-25 06:00,0.16,1.54,1.13e6,136
2022-10-25 07:00,0.16,1.54,1.13e6,125
2022-10-25 08:00,0.17,1.54,1.13e6,125
2022-10-25 09:00,0.17,1.54,1.13e6,129
2022-10-25 10:00,0.16,1.54,1.13e6,126
2022-10-25 11:00,0.17,1.54,1.13e6,149
2022-10-25 12:00,0.17,1.54,1.13e6,130
2022-10-25 13:00,0.17,1.54,1.13e6,136
2022-10-25 14:00,0.16,1.54,1.13e6,128
2022-10-25 15:00,0.16,1.54,1.13e6,128
2022-10-25 16:00,0.16,1.54,1.13e6,122
2022-10-25 17:00,0.16,1.54,1.13e6,132
2022-10-25 18:00,0.16,1.54,1.13e6,133
2022-10-25 19:00,0.16,1.54,1.13e6,126
2022-10-25 20:00,0.16,1.54,1.13e6,127
2022-10-25 21:00,0.15,1.54,1.13e6,122
2022-10-25 22:00,0.16,1.54,1.13e6,123
2022-10-25 23:00,0.16,1.54,1.13e6,123
2022-10-26 00:00,0.16,1.54,1.13e6,119
2022-10-26 01:00,0.16,1.54,1.13e6,125
2022-10-26 02:00,0.16,1.54,1.13e6,125
2022-10-26 03:00,0.16,1.54,1.13e6,123
2022-10-26 04:00,0.16,1.54,1.13e6,128
2022-10-26 05:00,0.16,1.54,1.13e6,120
2022-10-26 06:00,0.16,1.55,1.13e6,124
2022-10-26 07:00,0.16,1.55,1.13e6,124
2022-10-26 08:00,0.16,1.55,1.13e6,124
2022-10-26 09:00,0.16,1.55,1.13e6,122
2022-10-26 10:00,0.16,1.55,1.13e6,127
2022-10-26 11:00,0.16,1.55,1.13e6,125
2022-10-26 12:00,0.16,1.55,1.13e6,125
2022-10-26 13:00,0.16,1.55,1.13e6,128
2022-10-26 14:00,0.16,1.55,1.13e6,136
2022-10-26 15:00,0.16,1.55,1.13e6,131
2022-10-26 16:00,0.16,1.55,1.13e6,129
2022-10-26 17:00,0.16,1.55,1.13e6,129
2022-10-26 18:00,0.16,1.55,1.13e6,127
2022-10-26 19:00,0.16,1.55,1.13e6,142
2022-10-26 20:00,0.16,1.55,1.13e6,126
2022-10-26 21:00,0.16,1.55,1.13e6,146
2022-10-26 22:00,0.16,1.55,1.13e6,124
2022-10-26 23:00,0.16,1.55,1.12e6,125
2022-10-27 00:00,0.16,1.55,1.13e6,125
2022-10-27 01:00,0.16,1.55,1.12e6,122
2022-10-27 02:00,0.16,1.55,1.13e6,125
2022-10-27 03:00,0.16,1.55,1.13e6,121
2022-10-27 04:00,0.16,1.55,1.13e6,141
2022-10-27 05:00,0.16,1.55,1.13e6,125
2022-10-27 06:00,0.16,1.55,1.13e6,123
2022-10-27 07:00,0.16,1.55,1.13e6,123
2022-10-27 08:00,0.16,1.55,1.13e6,129
2022-10-27 09:00,0.16,1.55,1.13e6,128
2022-10-27 10:00,0.16,1.55,1.13e6,130
2022-10-27 11:00,0.16,1.55,1.13e6,152
2022-10-27 12:00,0.16,1.55,1.13e6,125
2022-10-27 13:00,0.16,1.56,1.13e6,131
2022-10-27 14:00,0.16,1.56,1.13e6,130
2022-10-27 15:00,0.16,1.56,1.13e6,127
2022-10-27 16:00,0.16,1.56,1.13e6,124
2022-10-27 17:00,0.15,1.56,1.13e6,124
2022-10-27 18:00,0.16,1.56,1.15e6,173
2022-10-27 19:00,0.16,1.56,1.14e6,159
2022-10-27 20:00,0.16,1.56,1.14e6,126
2022-10-27 21:00,0.15,1.56,1.14e6,129
2022-10-27 22:00,0.15,1.56,1.14e6,173
2022-10-27 23:00,0.15,1.56,1.14e6,124
2022-10-28 00:00,0.15,1.56,1.14e6,124
2022-10-28 01:00,0.15,1.56,1.14e6,135
2022-10-28 02:00,0.15,1.56,1.14e6,166
2022-10-28 03:00,0.15,1.56,1.14e6,120
2022-10-28 04:00,0.15,1.56,1.14e6,126
2022-10-28 05:00,0.16,1.56,1.14e6,128
2022-10-28 06:00,0.16,1.56,1.15e6,148
2022-10-28 07:00,0.16,1.56,1.14e6,125
2022-10-28 08:00,0.16,1.56,1.14e6,126
2022-10-28 09:00,0.16,1.56,1.14e6,153
2022-10-28 10:00,0.16,1.56,1.15e6,126
2022-10-28 11:00,0.15,1.56,1.15e6,127
2022-10-28 12:00,0.16,1.56,1.15e6,128
2022-10-28 13:00,0.16,1.56,1.15e6,129
2022-10-28 14:00,0.16,1.56,1.16e6,142
2022-10-28 15:00,0.16,1.56,1.16e6,129
2022-10-28 16:00,0.15,1.57,1.14e6,130
2022-10-28 17:00,0.15,1.57,1.13e6,160
2022-10-28 18:00,0.15,1.57,1.13e6,124
2022-10-28 19:00,0.15,1.57,1.13e6,149
2022-10-28 20:00,0.16,1.57,1.13e6,130
2022-10-28 21:00,0.16,1.57,1.13e6,151
2022-10-28 22:00,0.16,1.57,1.13e6,124
2022-10-28 23:00,0.16,1.57,1.12e6,124
2022-10-29 00:00,0.15,1.57,1.13e6,129
2022-10-29 01:00,0.15,1.57,1.12e6,133
2022-10-29 02:00,0.15,1.57,1.13e6,126
2022-10-29 03:00,0.15,1.57,1.12e6,126
2022-10-29 04:00,0.15,1.57,1.12e6,129
2022-10-29 05:00,0.15,1.57,1.12e6,129
2022-10-29 06:00,0.15,1.57,1.13e6,128
2022-10-29 07:00,0.15,1.57,1.13e6,145
2022-10-29 08:00,0.15,1.57,1.13e6,155
2022-10-29 09:00,0.14,1.57,1.13e6,134
2022-10-29 10:00,0.15,1.57,1.13e6,135
2022-10-29 11:00,0.15,1.57,1.13e6,130
2022-10-29 12:00,0.15,1.57,1.13e6,145
2022-10-29 13:00,0.15,1.57,1.13e6,138
2022-10-29 14:00,0.15,1.58,1.15e6,149
2022-10-29 15:00,0.15,1.58,1.13e6,151
2022-10-29 16:00,0.15,1.58,1.13e6,150
2022-10-29 17:00,0.15,1.58,1.13e6,143
2022-10-29 18:00,0.15,1.58,1.13e6,129
2022-10-29 19:00,0.15,1.58,1.13e6,128
2022-10-29 20:00,0.15,1.58,1.13e6,151
2022-10-29 21:00,0.16,1.58,1.13e6,149
2022-10-29 22:00,0.15,1.58,1.13e6,152
2022-10-29 23:00,0.16,1.58,1.13e6,146
2022-10-30 00:00,0.16,1.58,1.13e6,132
2022-10-30 01:00,0.15,1.58,1.13e6,137
2022-10-30 02:00,0.15,1.58,1.13e6,140
2022-10-30 03:00,0.15,1.58,1.13e6,159
2022-10-30 04:00,0.15,1.58,1.13e6,136
2022-10-30 05:00,0.15,1.58,1.12e6,140
2022-10-30 06:00,0.15,1.58,1.13e6,139
2022-10-30 07:00,0.15,1.58,1.13e6,138
2022-10-30 08:00,0.15,1.58,1.13e6,132
2022-10-30 09:00,0.16,1.58,1.13e6,135
2022-10-30 10:00,0.15,1.58,1.13e6,144
2022-10-30 11:00,0.16,1.58,1.13e6,152
2022-10-30 12:00,0.16,1.58,1.13e6,131
2022-10-30 13:00,0.16,1.58,1.13e6,132
2022-10-30 14:00,0.15,1.58,1.13e6,133
2022-10-30 15:00,0.15,1.58,1.13e6,134
2022-10-30 16:00,0.16,1.59,1.13e6,144
2022-10-30 17:00,0.15,1.59,1.13e6,160
2022-10-30 18:00,0.16,1.59,1.14e6,139
2022-10-30 19:00,0.16,1.59,1.14e6,143
2022-10-30 20:00,0.15,1.59,1.14e6,150
2022-10-30 21:00,0.15,1.59,1.14e6,159
2022-10-30 22:00,0.15,1.59,1.13e6,130
2022-10-30 23:00,0.15,1.59,1.13e6,143
2022-10-31 00:00,0.15,1.59,1.13e6,149
2022-10-31 01:00,0.15,1.59,1.12e6,160
2022-10-31 02:00,0.15,1.59,1.13e6,143
2022-10-31 03:00,0.15,1.59,1.13e6,141
2022-10-31 04:00,0.15,1.59,1.13e6,145
2022-10-31 05:00,0.15,1.59,1.13e6,153
2022-10-31 06:00,0.16,1.59,1.13e6,153
2022-10-31 07:00,0.15,1.59,1.13e6,150
2022-10-31 08:00,0.15,1.59,1.13e6,167
2022-10-31 09:00,0.15,1.59,1.13e6,137
