Aplicação,Métrica,Algoritmo,Erro médio absoluto,Erro médio quadrado,Coeficiente de determinação (R²),Tempo de execução(em segundos),API
_.dellsvc,CPU,Redes Neurais Recorrentes,"0,178840","0,087066","0,652780","297,990328",API 1
_.dellsvc,CPU,Redes Neurais Convolucionais,"0,472958","0,501811","-0,679540","61,945539",API 1
_.dellsvc,CPU,XGBoost,"0,501572","0,509506","-47,933200","1,996638",API 1
_.dellsvc,CPU,AutoArima,"0,595457","0,642254","-146,835189","481,878441",API 1
at1-script-gw.script-gw-_,CPU,Redes Neurais Recorrentes,"0,025157","0,002600","0,608022","330,805591",API 2
at1-script-gw.script-gw-_,CPU,Redes Neurais Convolucionais,"0,079002","0,008351","-0,078648","55,270618",API 2
at1-script-gw.script-gw-_,CPU,XGBoost,"0,011393","0,000328","-207.759,162188","1,622373",API 2
at1-script-gw.script-gw-_,CPU,AutoArima,"0,071721","0,010609","-40,668337","461,137295",API 2
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),CPU,Redes Neurais Recorrentes,"0,033139","0,001253","-6,672666","331,297781",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),CPU,Redes Neurais Convolucionais,"0,276413","0,076868","-301,403142","144,101136",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),CPU,XGBoost,"0,011393","0,000328","-207.759,162188","1,622373",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),CPU,AutoArima,"0,245684","0,070733","-7,307713","645,005176",API 3
atl-ce-routing.scg-router-app_,CPU,Redes Neurais Recorrentes,"0,006145","0,000131","-0,077234","331,267579",API 4
atl-ce-routing.scg-router-app_,CPU,Redes Neurais Convolucionais,"0,032193","0,001272","-4,415148","83,120686",API 4
atl-ce-routing.scg-router-app_,CPU,XGBoost,"0,011282","0,000227","-1.564,643159","1,460121",API 4
atl-ce-routing.scg-router-app_,CPU,AutoArima,"0,131051","0,017398","0,000000","1.072,116817",API 4
Azure DevOps Server (tfs)_,CPU,Redes Neurais Recorrentes,"0,753971","0,945861","0,901376","213,782772",API 5
Azure DevOps Server (tfs)_,CPU,Redes Neurais Convolucionais,"2,888395","11,044744","-0,000289","74,678894",API 5
Azure DevOps Server (tfs)_,CPU,XGBoost,"3,539360","19,807460","-3,924174","1,727690",API 5
Azure DevOps Server (tfs)_,CPU,AutoArima,"2,875526","11,300862","-11,994381","604,516502",API 5
BATCH Dell.Pricing.Discount.WebApi_,CPU,Redes Neurais Recorrentes,"0,574543","0,556079","0,549085","309,947225",API 6
BATCH Dell.Pricing.Discount.WebApi_,CPU,Redes Neurais Convolucionais,"1,146691","1,922337","-0,372254","80,776631",API 6
BATCH Dell.Pricing.Discount.WebApi_,CPU,XGBoost,"1,149739","2,252782","-22,953330","2,029753",API 6
BATCH Dell.Pricing.Discount.WebApi_,CPU,AutoArima,"1,446096","3,438035","-23,153017","476,337286",API 6
BATCH EM DCP.PricingService_,CPU,Redes Neurais Recorrentes,"1,623915","4,532439","0,094341","330,524045",API 7
BATCH EM DCP.PricingService_,CPU,Redes Neurais Convolucionais,"1,874692","5,349091","-0,000461","145,692789",API 7
BATCH EM DCP.PricingService_,CPU,XGBoost,"2,912803","12,874608","-2,140430","2,325849",API 7
BATCH EM DCP.PricingService_,CPU,AutoArima,"2,536883","11,956899","-33,616859","557,150510",API 7
dell.com_shop,CPU,Redes Neurais Recorrentes,"0,451676","0,358702","0,825078","391,588296",API 8
dell.com_shop,CPU,Redes Neurais Convolucionais,"1,244205","2,280812","-0,007155","144,713195",API 8
dell.com_shop,CPU,XGBoost,"1,745641","4,621363","-1,601548","2,905033",API 8
dell.com_shop,CPU,AutoArima,"1,651910","4,915050","-27,180704","100,404289",API 8
BATCH SnpServiceAPI_,CPU,Redes Neurais Recorrentes,"2,741102","23,113325","0,666615","331,282422",API 9
BATCH SnpServiceAPI_,CPU,Redes Neurais Convolucionais,"8,179902","153,985633","-0,311637","45,406605",API 9
BATCH SnpServiceAPI_,CPU,XGBoost,"9,307683","168,598178","-1,776704","2,237175",API 9
BATCH SnpServiceAPI_,CPU,AutoArima,"9,370270","151,918477","-2,874392","766,463918",API 9
_.dellsvc,LATENCY,Redes Neurais Recorrentes,"0,073077","0,020138","-14,467379","298,790267",API 1
_.dellsvc,LATENCY,Redes Neurais Convolucionais,"0,059328","0,020512","-0,014907","82,990144",API 1
_.dellsvc,LATENCY,XGBoost,"0,157416","0,044587","-2,195044","7,614064",API 1
_.dellsvc,LATENCY,AutoArima,"0,119710","0,039658","-1,317797","101,957532",API 1
at1-script-gw.script-gw-_,LATENCY,Redes Neurais Recorrentes,"0,005301","3,824145","-2,366522","331,955100",API 2
at1-script-gw.script-gw-_,LATENCY,Redes Neurais Convolucionais,"0,000927","0,000007","-0,057460","53,970675",API 2
at1-script-gw.script-gw-_,LATENCY,XGBoost,"161,816053","58.796,263936","-0,859359","8,198486",API 2
at1-script-gw.script-gw-_,LATENCY,AutoArima,"0,003177","0,000017","-41,222583","293,510384",API 2
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),LATENCY,Redes Neurais Recorrentes,"169,795691","34.288,556012","-22,881802","330,112687",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),LATENCY,Redes Neurais Convolucionais,"42,214948","9.188,082808","-0,001251","83,265449",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),LATENCY,XGBoost,"161,816053","58.796,263936","-0,859359","8,198486",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),LATENCY,AutoArima,"3.023,554274","10.949.926,782049","-4,953262","614,509015",API 3
atl-ce-routing.scg-router-app_,LATENCY,Redes Neurais Recorrentes,"4.920,595581","115.915.795,225753","0,010005","330,589286",API 4
atl-ce-routing.scg-router-app_,LATENCY,Redes Neurais Convolucionais,"915,792292","7.843.416,381632","-0,086217","41,814604",API 4
atl-ce-routing.scg-router-app_,LATENCY,XGBoost,"44.745,330771","5.376.840.560,563530","-0,554152","1,198833",API 4
atl-ce-routing.scg-router-app_,LATENCY,AutoArima,"1.555,264019","8.194.279,427570","0,000000","156,972844",API 4
Azure DevOps Server (tfs)_,LATENCY,Redes Neurais Recorrentes,"207,793520","79.971,720189","0,820574","208,423023",API 5
